student_id,student_name,gender,dob,department_id,course,semester,admission_year,email,city
STU0001,Student_1,Male,2003-03-18,1,B.Tech,1,2019,student1@college.edu,Pune
STU0002,Student_2,Male,2001-09-10,2,B.Tech,3,2020,student2@college.edu,Lucknow
STU0003,Student_3,Female,2003-04-02,3,B.Tech,5,2021,student3@college.edu,Pune
STU0004,Student_4,Female,2003-04-20,4,B.Tech,7,2022,student4@college.edu,Jaipur
STU0005,Student_5,Male,2004-05-31,5,B.Tech,1,2023,student5@college.edu,Bangalore
STU0006,Student_6,Male,2002-10-15,6,B.Tech,3,2024,student6@college.edu,Indore
STU0007,Student_7,Male,2005-10-14,7,B.Tech,5,2019,student7@college.edu,Kolkata
STU0008,Student_8,Male,2004-04-30,8,B.Tech,7,2020,student8@college.edu,Bhopal
STU0009,Student_9,Male,2001-04-23,1,B.Tech,1,2021,student9@college.edu,Kolkata
STU0010,Student_10,Male,2003-01-25,2,B.Tech,3,2022,student10@college.edu,Chennai
STU0011,Student_11,Female,2003-09-30,3,B.Tech,5,2023,student11@college.edu,Jaipur
STU0012,Student_12,Male,2002-06-08,4,B.Tech,7,2024,student12@college.edu,Bangalore
STU0013,Student_13,Male,2002-12-27,5,B.Tech,1,2019,student13@college.edu,Lucknow
STU0014,Student_14,Male,2004-12-10,6,B.Tech,3,2020,student14@college.edu,Chennai
STU0015,Student_15,Male,2005-08-27,7,B.Tech,5,2021,student15@college.edu,Bangalore
STU0016,Student_16,Female,2004-09-23,8,B.Tech,7,2022,student16@college.edu,Delhi
STU0017,Student_17,Male,2001-03-06,1,B.Tech,1,2023,student17@college.edu,Pune
STU0018,Student_18,Male,2002-05-12,2,B.Tech,3,2024,student18@college.edu,Jaipur
STU0019,Student_19,Female,2004-01-08,3,B.Tech,5,2019,student19@college.edu,Bhopal
STU0020,Student_20,Female,2003-12-24,4,B.Tech,7,2020,student20@college.edu,Bangalore
STU0021,Student_21,Male,2004-05-13,5,B.Tech,1,2021,student21@college.edu,Delhi
STU0022,Student_22,Female,2003-07-05,6,B.Tech,3,2022,student22@college.edu,Indore
STU0023,Student_23,Female,2003-07-26,7,B.Tech,5,2023,student23@college.edu,Delhi
STU0024,Student_24,Female,2001-12-12,8,B.Tech,7,2024,student24@college.edu,Mumbai
STU0025,Student_25,Male,2003-09-02,1,B.Tech,1,2019,student25@college.edu,Pune
STU0026,Student_26,Female,2002-02-02,2,B.Tech,3,2020,student26@college.edu,Mumbai
STU0027,Student_27,Male,2003-02-01,3,B.Tech,5,2021,student27@college.edu,Kolkata
STU0028,Student_28,Male,2005-01-07,4,B.Tech,7,2022,student28@college.edu,Lucknow
STU0029,Student_29,Male,2003-05-30,5,B.Tech,1,2023,student29@college.edu,Jaipur
STU0030,Student_30,Male,2004-02-18,6,B.Tech,3,2024,student30@college.edu,Kolkata
STU0031,Student_31,Female,2004-01-07,7,B.Tech,5,2019,student31@college.edu,Mumbai
STU0032,Student_32,Female,2003-08-09,8,B.Tech,7,2020,student32@college.edu,Jaipur
STU0033,Student_33,Female,2005-06-28,1,B.Tech,1,2021,student33@college.edu,Delhi
STU0034,Student_34,Female,2002-05-10,2,B.Tech,3,2022,student34@college.edu,Indore
